sinif,split,orijinal_yol,yeni_yol,dosya_adi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/893/frame_000018.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00013.jpg,real_train_00013.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/569/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00014.jpg,real_train_00014.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/442/frame_000010.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00015.jpg,real_train_00015.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/075/frame_000028.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00016.jpg,real_train_00016.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/533/frame_000019.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00017.jpg,real_train_00017.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/365/frame_000003.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00018.jpg,real_train_00018.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/871/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00019.jpg,real_train_00019.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/910/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00020.jpg,real_train_00020.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/760/frame_000005.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00021.jpg,real_train_00021.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/121/frame_000025.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00022.jpg,real_train_00022.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/201/frame_000044.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00023.jpg,real_train_00023.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/614/frame_000019.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00024.jpg,real_train_00024.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/392/frame_000051.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00025.jpg,real_train_00025.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/268/frame_000032.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00026.jpg,real_train_00026.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/325/frame_000038.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00027.jpg,real_train_00027.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/463/frame_000017.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00028.jpg,real_train_00028.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/318/frame_000027.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00029.jpg,real_train_00029.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/183/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00030.jpg,real_train_00030.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/012/frame_000013.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00031.jpg,real_train_00031.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/927/frame_000026.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00032.jpg,real_train_00032.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/132/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00033.jpg,real_train_00033.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/128/frame_000014.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00034.jpg,real_train_00034.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/609/frame_000011.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00035.jpg,real_train_00035.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/430/frame_000010.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00036.jpg,real_train_00036.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/795/frame_000026.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00037.jpg,real_train_00037.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/648/frame_000003.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00038.jpg,real_train_00038.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/286/frame_000003.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00039.jpg,real_train_00039.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/579/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00040.jpg,real_train_00040.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/309/frame_000023.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00041.jpg,real_train_00041.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/125/frame_000020.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00042.jpg,real_train_00042.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/391/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00043.jpg,real_train_00043.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/236/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00044.jpg,real_train_00044.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/091/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00045.jpg,real_train_00045.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/493/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00046.jpg,real_train_00046.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/593/frame_000025.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00047.jpg,real_train_00047.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/752/frame_000043.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00048.jpg,real_train_00048.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/126/frame_000001.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00049.jpg,real_train_00049.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/486/frame_000029.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00050.jpg,real_train_00050.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/403/frame_000010.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00051.jpg,real_train_00051.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/943/frame_000025.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00052.jpg,real_train_00052.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/078/frame_000029.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00053.jpg,real_train_00053.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/043/frame_000001.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00054.jpg,real_train_00054.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/676/frame_000003.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00055.jpg,real_train_00055.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/596/frame_000015.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00056.jpg,real_train_00056.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/562/frame_000018.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00057.jpg,real_train_00057.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/783/frame_000001.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00058.jpg,real_train_00058.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/054/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00059.jpg,real_train_00059.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/989/frame_000000.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00060.jpg,real_train_00060.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/609/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00061.jpg,real_train_00061.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/283/frame_000023.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00062.jpg,real_train_00062.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/519/frame_000008.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00063.jpg,real_train_00063.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/261/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00064.jpg,real_train_00064.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/987/frame_000017.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00065.jpg,real_train_00065.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/780/frame_000020.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00066.jpg,real_train_00066.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/744/frame_000008.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00067.jpg,real_train_00067.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/995/frame_000020.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00068.jpg,real_train_00068.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/859/frame_000008.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00069.jpg,real_train_00069.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/609/frame_000022.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00070.jpg,real_train_00070.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/107/frame_000001.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00071.jpg,real_train_00071.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/012/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00072.jpg,real_train_00072.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/945/frame_000033.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00073.jpg,real_train_00073.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/883/frame_000024.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00074.jpg,real_train_00074.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/345/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00075.jpg,real_train_00075.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/590/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00076.jpg,real_train_00076.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/231/frame_000023.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00077.jpg,real_train_00077.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/578/frame_000017.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00078.jpg,real_train_00078.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/180/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00079.jpg,real_train_00079.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/708/frame_000019.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00080.jpg,real_train_00080.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/164/frame_000018.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00081.jpg,real_train_00081.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/573/frame_000013.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00082.jpg,real_train_00082.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/769/frame_000016.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00083.jpg,real_train_00083.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/326/frame_000029.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00084.jpg,real_train_00084.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/959/frame_000005.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00085.jpg,real_train_00085.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/477/frame_000012.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00086.jpg,real_train_00086.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/139/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00087.jpg,real_train_00087.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/625/frame_000012.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00088.jpg,real_train_00088.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/393/frame_000000.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00089.jpg,real_train_00089.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/749/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00090.jpg,real_train_00090.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/489/frame_000026.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00091.jpg,real_train_00091.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/626/frame_000025.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00092.jpg,real_train_00092.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/279/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00093.jpg,real_train_00093.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/807/frame_000011.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00094.jpg,real_train_00094.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/010/frame_000017.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00095.jpg,real_train_00095.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/244/frame_000015.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00096.jpg,real_train_00096.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/951/frame_000011.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00097.jpg,real_train_00097.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/865/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00098.jpg,real_train_00098.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/783/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00099.jpg,real_train_00099.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/512/frame_000014.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00100.jpg,real_train_00100.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/158/frame_000002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00101.jpg,real_train_00101.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/136/frame_000029.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00102.jpg,real_train_00102.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/556/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00103.jpg,real_train_00103.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/554/frame_000006.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00104.jpg,real_train_00104.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/316/frame_000009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00105.jpg,real_train_00105.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/905/frame_000007.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00106.jpg,real_train_00106.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/107/frame_000017.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00107.jpg,real_train_00107.jpg
