sinif,split,dosya,neden
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Deepfakes_491_226/frame_000015.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_15__walking_outside_cafe_disgusted__99NHTFBM/frame_000023.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_04__meeting_serious__0XUW13RW/frame_000044.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_25__exit_phone_room__MUS0X71T/frame_000015.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_02_27__walk_down_hall_angry__78M8S6M6/frame_000004.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_18__outside_talking_pan_laughing__8BMQOD7S/frame_000043.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_18_26__walk_down_hall_angry__AI94QW74/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Deepfakes_370_483/frame_000011.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_15__outside_talking_still_laughing__KM6M2TBT/frame_000003.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_03__outside_talking_pan_laughing__6PHZRQ4H/frame_000025.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_28_16__walking_down_street_outside_angry__U757192N/frame_000022.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_05_16__walking_down_street_outside_angry__OSXCUOHX/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_13__walk_down_hall_angry__HQHYKNGK/frame_000011.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__walk_down_hall_angry__RKQTC50P/frame_000017.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_13__outside_talking_still_laughing__LXLR1B6N/frame_000018.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_15__meeting_serious__OY4I7ZU8/frame_000030.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_08_28__outside_talking_still_laughing__8BC35RFU/frame_000027.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_13__walk_down_hall_angry__HQHYKNGK/frame_000012.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_25__exit_phone_room__IKMKYKPG/frame_000007.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Deepfakes_237_236/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__walk_down_hall_angry__59PN7WZ2/frame_000024.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_13_12__podium_speech_happy__2TM4IFSF/frame_000051.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_03__walk_down_hall_angry__61SVZ2J7/frame_000020.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_07__outside_talking_pan_laughing__5VT4USF9/frame_000036.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_26_04__walking_outside_cafe_disgusted__MS2MLJP1/frame_000012.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/FaceSwap_254_261/frame_000024.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0/frame_000033.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Face2Face_856_881/frame_000003.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_02_03__walking_outside_cafe_disgusted__QH3Y0IG0/frame_000024.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_21_09__walking_outside_cafe_disgusted__JEELOMN2/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_06_12__podium_speech_happy__3K21NFNM/frame_000033.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_25__outside_talking_still_laughing__DW2L6D2V/frame_000040.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_25_15__walking_down_street_outside_angry__FF95NMIQ/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_24_19__outside_talking_pan_laughing__LVZNRK9S/frame_000013.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_02_09__walk_down_hall_angry__6KUOFMZW/frame_000009.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Deepfakes_647_622/frame_000032.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_26_18__walk_down_hall_angry__UMEX6HWU/frame_000010.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_26_25__secret_conversation__0UFFR3U1/frame_000031.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_11__secret_conversation__4OJNJLOO/frame_000021.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/NeuralTextures_349_350/frame_000022.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__outside_talking_pan_laughing__OF8LF68K/frame_000026.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_25_15__walk_down_hall_angry__BXVA6VQB/frame_000018.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_16_05__outside_talking_pan_laughing__053HPS1G/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_26__outside_talking_pan_laughing__2VS0S1P5/frame_000039.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/FaceShifter_156_243/frame_000006.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_04_26__outside_talking_still_laughing__WX836VLY/frame_000032.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/FaceSwap_237_236/frame_000035.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_20__outside_talking_pan_laughing__OTGHOG4Z/frame_000002.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_15_14__exit_phone_room__OMLZILK3/frame_000017.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_11__exit_phone_room__P08VGHTA/frame_000009.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_10_19__walking_down_street_outside_angry__IDX76N5R/frame_000000.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_09__outside_talking_pan_laughing__MKEWB4SM/frame_000002.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_04_26__outside_talking_pan_laughing__WX836VLY/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_26_04__outside_talking_still_laughing__WX836VLY/frame_000024.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_14_13__walk_down_hall_angry__KMQ3AW6A/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_25__walking_down_street_outside_angry__ZG0SRZOA/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_13_09__outside_talking_still_laughing__30N46VHZ/frame_000036.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_18_02__secret_conversation__B95S4G6F/frame_000017.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_06_12__outside_talking_still_laughing__3K21NFNM/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_06_07__outside_talking_pan_laughing__NMGYPBXE/frame_000018.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_11_07__exit_phone_room__PGC20QSY/frame_000003.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_14_18__exit_phone_room__0YRBHIKG/frame_000004.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Face2Face_567_606/frame_000008.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_09_02__exit_phone_room__6KUOFMZW/frame_000008.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_09_18__outside_talking_pan_laughing__3VP8836C/frame_000031.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/NeuralTextures_243_156/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_20__outside_talking_pan_laughing__KV6Q7D6C/frame_000021.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/NeuralTextures_376_381/frame_000023.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Deepfakes_663_231/frame_000005.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/FaceShifter_156_243/frame_000024.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_13__meeting_serious__GBYWJW06/frame_000045.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Face2Face_040_997/frame_000023.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__walk_down_hall_angry__OF8LF68K/frame_000009.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_23_24__talking_angry_couch__MDSDXSNU/frame_000003.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_24_19__walking_down_street_outside_angry__QD5K7BP2/frame_000002.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_18_15__outside_talking_still_laughing__V5VHLCOW/frame_000027.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_15__meeting_serious__DNUJD8M2/frame_000025.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_25__outside_talking_still_laughing__M786RTSM/frame_000035.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_20_07__outside_talking_pan_laughing__5VT4USF9/frame_000041.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_11_18__walking_outside_cafe_disgusted__R1NMCHKG/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_18_26__outside_talking_still_laughing__UMEX6HWU/frame_000026.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__walk_down_hall_angry__W1DEM0XM/frame_000002.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_15__meeting_serious__OY4I7ZU8/frame_000043.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_27__outside_talking_still_laughing__ZYCZ30C0/frame_000004.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_04_13__secret_conversation__00T3UYOR/frame_000028.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_26__outside_talking_pan_laughing__ZMEJ535O/frame_000004.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_13_25__walking_down_street_outside_angry__IW9OFVMG/frame_000000.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_19_24__walk_down_hall_angry__W1DEM0XM/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_17_16__podium_speech_happy__EWJJTZHY/frame_000035.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_14__podium_speech_happy__Q9NSXM88/frame_000018.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_03_15__meeting_serious__DNUJD8M2/frame_000011.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_02_01__outside_talking_still_laughing__YVGY8LOK/frame_000023.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/FaceShifter_221_206/frame_000022.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_10_22__outside_talking_pan_laughing__G48B2EQ2/frame_000019.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_14__outside_talking_pan_laughing__P9QFO50U/frame_000003.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_02_07__hugging_happy__1JCLEEBQ/frame_000004.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_01_20__outside_talking_pan_laughing__OTGHOG4Z/frame_000028.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Face2Face_580_524/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_24_19__walking_down_street_outside_angry__QD5K7BP2/frame_000001.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/Face2Face_281_474/frame_000010.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_13_12__outside_talking_still_laughing__2TM4IFSF/frame_000019.jpg,yuz_bulunamadi
