epoch,stage,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall,learning_rate
11,frozen,0.6088777184486389,0.660463809967041,0.6514952182769775,0.6646020412445068,0.6150403022766113,0.5768262147903442,0.6418918967247009,0.7115991115570068,0.6200991272926331,0.6818046569824219,0.6241135001182556,0.6241135001182556,0.0005000000237487257
12,frozen,0.6323283314704895,0.6774471402168274,0.6383246183395386,0.6843697428703308,0.6347975730895996,0.6188077330589294,0.6418918967247009,0.7147563695907593,0.619279682636261,0.6867099404335022,0.6114649772644043,0.6808510422706604,0.0005000000237487257
13,finetune,0.6193467378616333,0.6690210700035095,0.6452509760856628,0.677069365978241,0.6223958134651184,0.6020151376724243,0.6452702879905701,0.7154197692871094,0.6241956353187561,0.6965086460113525,0.6000000238418579,0.7659574747085571,9.999999747378752e-06
14,finetune,0.6314907670021057,0.6857126951217651,0.6374824643135071,0.6900400519371033,0.6330196857452393,0.6213266253471375,0.6520270109176636,0.7178449034690857,0.6209251284599304,0.6969456672668457,0.6043956279754639,0.7801418304443359,9.999999747378752e-06
15,finetune,0.6176716685295105,0.6756957173347473,0.6387937664985657,0.6894151568412781,0.6238859295845032,0.5877413749694824,0.6452702879905701,0.71729576587677,0.6186872720718384,0.699077308177948,0.6071428656578064,0.7234042286872864,9.999999747378752e-06
16,finetune,0.6306532621383667,0.6919091939926147,0.6293936371803284,0.7062241435050964,0.6385650038719177,0.5978169441223145,0.6283783912658691,0.7183939218521118,0.6246015429496765,0.7041019797325134,0.5803108811378479,0.7943262457847595,9.999999747378752e-06
17,finetune,0.6369346976280212,0.7043904066085815,0.6195640563964844,0.716123640537262,0.6403812766075134,0.6204869747161865,0.6486486196517944,0.7250743508338928,0.6104408502578735,0.711668074131012,0.6121212244033813,0.716312050819397,9.999999747378752e-06
18,finetune,0.6474036574363708,0.707253098487854,0.6191678643226624,0.721252977848053,0.6548358201980591,0.6196473836898804,0.6114864945411682,0.7211621999740601,0.6332314014434814,0.7109928131103516,0.5601851940155029,0.8581560254096985,9.999999747378752e-06
19,finetune,0.6436348557472229,0.7092928290367126,0.6149799823760986,0.7349951267242432,0.6515151262283325,0.6137699484825134,0.6418918967247009,0.7289636135101318,0.6162538528442383,0.7184854745864868,0.5925925970077515,0.7943262457847595,9.999999747378752e-06
20,finetune,0.6457286477088928,0.7184727191925049,0.6098516583442688,0.7325249314308167,0.6522506475448608,0.6204869747161865,0.6554054021835327,0.7327384948730469,0.6066123843193054,0.7196855545043945,0.6140350699424744,0.7446808218955994,4.999999873689376e-06
21,finetune,0.6645728349685669,0.7356085181236267,0.5966110825538635,0.752144992351532,0.676630437374115,0.6272040009498596,0.6554054021835327,0.7340654134750366,0.604377269744873,0.7212256193161011,0.6153846383094788,0.73758864402771,4.999999873689376e-06
22,finetune,0.660804033279419,0.7309731841087341,0.6018289923667908,0.7478259205818176,0.6742909550666809,0.6188077330589294,0.6283783912658691,0.7301762104034424,0.6217663288116455,0.7221989035606384,0.5763546824455261,0.8297872543334961,4.999999873689376e-06
23,finetune,0.660804033279419,0.7309776544570923,0.5996347069740295,0.7450119853019714,0.6693333387374878,0.6322417855262756,0.6554054021835327,0.7365362644195557,0.6058460474014282,0.7249168157577515,0.6114285588264465,0.758865237236023,4.999999873689376e-06
24,finetune,0.660385251045227,0.7319817543029785,0.5985460877418518,0.7467287182807922,0.6705565452575684,0.6272040009498596,0.6554054021835327,0.7366735935211182,0.6015639901161194,0.7248347997665405,0.6181818246841431,0.7234042286872864,2.499999936844688e-06
25,finetune,0.6700167655944824,0.7370044589042664,0.5937877297401428,0.7557341456413269,0.6803939342498779,0.6381192207336426,0.6520270109176636,0.7354838848114014,0.6054694652557373,0.7254616022109985,0.6067415475845337,0.7659574747085571,2.499999936844688e-06
26,finetune,0.6855108737945557,0.7479202747344971,0.5861579775810242,0.765823483467102,0.695035457611084,0.6582703590393066,0.6587837934494019,0.7360557913780212,0.6057135462760925,0.7264304161071777,0.6111111044883728,0.7801418304443359,2.499999936844688e-06
27,finetune,0.6695979833602905,0.7393847703933716,0.5923096537590027,0.7578874230384827,0.6775618195533752,0.6439966559410095,0.6587837934494019,0.7372912168502808,0.601496696472168,0.7270858287811279,0.6204819083213806,0.7304964661598206,1.249999968422344e-06
28,finetune,0.6700167655944824,0.7374755144119263,0.596225380897522,0.7492687702178955,0.6756756901741028,0.6507136821746826,0.6486486196517944,0.7381834983825684,0.599350094795227,0.7270863056182861,0.6134969592094421,0.7092198729515076,1.249999968422344e-06
29,finetune,0.6821607947349548,0.7405145168304443,0.5942172408103943,0.7551831007003784,0.6988950371742249,0.6372795701026917,0.6554054021835327,0.7362617254257202,0.6042494773864746,0.7266143560409546,0.6101694703102112,0.7659574747085571,1.249999968422344e-06
30,finetune,0.677973210811615,0.7424378991127014,0.5925395488739014,0.7599216103553772,0.6785110235214233,0.6733837127685547,0.6486486196517944,0.7384350895881653,0.5994066596031189,0.7283159494400024,0.6134969592094421,0.7092198729515076,1.249999968422344e-06
31,finetune,0.6896985173225403,0.746616780757904,0.5893284678459167,0.7578728199005127,0.7060439586639404,0.6473551392555237,0.662162184715271,0.7379090189933777,0.6017731428146362,0.7279567122459412,0.6198830604553223,0.7517730593681335,6.24999984211172e-07
32,finetune,0.6566163897514343,0.7318664193153381,0.6001784205436707,0.7466772198677063,0.6603284478187561,0.6414777636528015,0.6520270109176636,0.7387096881866455,0.6008425354957581,0.7292224168777466,0.613095223903656,0.7304964661598206,6.24999984211172e-07
